Z,Pitch,Roll,Volume,Area,VCx,VCy,VCz,ACx,ACy,ACz
-0.11,12,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,-24,0.002323606540286691,0.07915419204196894,0.5700499415397644,-0.3928661346435547,-0.1600761115550995,0.5666188597679138,-0.3956267237663269,-0.15520605444908142
-0.1,-12,-18,0.0006753812588431985,0.033936487001255955,0.6160315871238708,-0.41225630044937134,-0.14947329461574554,0.6297745108604431,-0.39697274565696716,-0.14518854022026062
-0.1,-12,-12,2.3933591060316654e-06,0.00036710112982518694,0.6626518368721008,-0.4584715962409973,-0.13536743819713593,0.6662037968635559,-0.4601993262767792,-0.1357930451631546
-0.1,-12,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-12,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-8,-24,0.0008084560101989776,0.037951958140560293,0.5778375267982483,-0.42511558532714844,-0.15007221698760986,0.589154064655304,-0.41415905952453613,-0.146137535572052
-0.1,-8,-18,8.832540480319104e-06,0.0009349625074097645,0.6453876495361328,-0.46086037158966064,-0.13631661236286163,0.6477636098861694,-0.46557843685150146,-0.13732051849365234
-0.1,-8,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-8,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-8,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-8,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-8,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.1,-8,-2,0.0,0,nan,nan,nan,nan,nan,nan
