Beta C_T^* C_Q^*
2.415263432843406388e+00 -5.911863475624262732e-01 -1.176486887893417738e-01
2.432765341777054058e+00 -5.814907085585078184e-01 -1.145225693214558249e-01
2.450267250710701727e+00 -5.725486723688771873e-01 -1.114829072855917508e-01
2.467769159644349841e+00 -5.638833127821103464e-01 -1.084668213154900002e-01
2.485271068577997511e+00 -5.550231685646838109e-01 -1.054442728752269798e-01
2.502772977511645625e+00 -5.455981721501543813e-01 -1.024314473649035606e-01
2.520274886445293294e+00 -5.354127529148641207e-01 -9.949177693284240453e-02
2.537776795378941408e+00 -5.244781193382792583e-01 -9.672424809393072309e-02
2.555278704312589078e+00 -5.129948382879576663e-01 -9.424152010252573319e-02
2.572780613246237191e+00 -5.012885690029962316e-01 -9.214265921217540400e-02
2.590282522179884861e+00 -4.897133048488289675e-01 -9.048648574332762706e-02
2.607784431113532975e+00 -4.785448375637074703e-01 -8.927141054085285798e-02
2.625286340047180644e+00 -4.678902199086859004e-01 -8.842627601606964372e-02
2.642788248980828314e+00 -4.576358868986829531e-01 -8.781444916583071303e-02
2.660290157914476428e+00 -4.474484566000189179e-01 -8.725074870165190621e-02
2.677792066848124097e+00 -4.368301009584324990e-01 -8.652828748089384792e-02
2.695293975781772211e+00 -4.252176618073775227e-01 -8.545046594450408928e-02
2.712795884715419881e+00 -4.121044410183337670e-01 -8.386248546009052174e-02
2.730297793649067994e+00 -3.971582560036642784e-01 -8.167696593305356911e-02
2.747799702582715664e+00 -3.803101460570785797e-01 -7.888943421588502647e-02
2.765301611516363778e+00 -3.617947614608219564e-01 -7.558131045321289654e-02
2.782803520450011447e+00 -3.421342779363666931e-01 -7.191017384793767231e-02
2.800305429383659117e+00 -3.220700057184223142e-01 -6.808914147869223055e-02
2.817807338317307231e+00 -3.024567762115560887e-01 -6.435881090846426456e-02
2.835309247250954900e+00 -2.841422114856566594e-01 -6.095617928226798599e-02
2.852811156184603014e+00 -2.678546805067017478e-01 -5.808517036647905391e-02
2.870313065118250684e+00 -2.541200450944604006e-01 -5.589291240401000893e-02
2.887814974051898798e+00 -2.432194332391653946e-01 -5.445484653036618966e-02
2.905316882985546467e+00 -2.351904167870267348e-01 -5.377030242026782647e-02
2.922818791919194581e+00 -2.298646198702491705e-01 -5.376857734451909177e-02
2.940320700852842251e+00 -2.269281307199155773e-01 -5.432401995542554540e-02
2.957822609786490364e+00 -2.259884643804814519e-01 -5.527735417813211399e-02
2.975324518720138034e+00 -2.266334208619930068e-01 -5.645964930393878450e-02
2.992826427653785704e+00 -2.284720917665765960e-01 -5.771506701574406761e-02
3.010328336587433817e+00 -2.311548000456773999e-01 -5.891884548430237345e-02
3.027830245521081487e+00 -2.343749621808337291e-01 -5.998788403694724908e-02
3.045332154454729601e+00 -2.378600827706474075e-01 -6.088264723275762375e-02
3.062834063388377270e+00 -2.413604028997236028e-01 -6.160070466013992108e-02
3.080335972322025384e+00 -2.446421372151052209e-01 -6.216378682339267214e-02
3.097837881255673054e+00 -2.474886235186925798e-01 -6.260146925160189890e-02
3.115339790189321167e+00 -2.497084865200097925e-01 -6.293523248856668084e-02
3.132841699122968837e+00 -2.511465740777148459e-01 -6.316651833985850728e-02
3.150343608056616951e+00 -2.516920603028677816e-01 -6.327149452671121388e-02
3.167845516990264620e+00 -2.512791073565179834e-01 -6.320370450640691584e-02
3.185347425923912290e+00 -2.498784026757736587e-01 -6.290392688570058122e-02
3.202849334857560404e+00 -2.474816494805961442e-01 -6.231480943725895005e-02
3.220351243791208073e+00 -2.440843006644411450e-01 -6.139659650076568359e-02
3.237853152724856187e+00 -2.396732660727155240e-01 -6.013986381454789615e-02
3.255355061658503857e+00 -2.342253363199788829e-01 -5.857175791691487943e-02
3.272856970592151971e+00 -2.277188006904535544e-01 -5.675372023176036146e-02
3.290358879525799640e+00 -2.201561270535001558e-01 -5.477073984356033848e-02
3.307860788459447754e+00 -2.115910742000291778e-01 -5.271433726990778362e-02
3.325362697393095424e+00 -2.021507584896072574e-01 -5.066319263556730984e-02
3.342864606326743537e+00 -1.920431285633313612e-01 -4.866613453154015889e-02
3.360366515260391207e+00 -1.815433545320264963e-01 -4.673184494063353095e-02
3.377868424194038877e+00 -1.709581979080510294e-01 -4.482814064463432058e-02
3.395370333127686990e+00 -1.605740468836015789e-01 -4.289138771219345309e-02
3.412872242061334660e+00 -1.506000733366372746e-01 -4.084404663678603553e-02
3.430374150994982774e+00 -1.411210710621352282e-01 -3.861618179050185090e-02
3.447876059928630443e+00 -1.320737785749606652e-01 -3.616558173514079072e-02
3.465377968862278557e+00 -1.232557126700966482e-01 -3.349128258542741904e-02
3.482879877795926227e+00 -1.143677300584752532e-01 -3.063678934510548693e-02
3.500381786729574340e+00 -1.050826308943730164e-01 -2.768181876622167678e-02
3.517883695663222010e+00 -9.512451685510150967e-02 -2.472432474324160953e-02
