Alpha CL CD
5.515320334261843982e+00 6.291224451488248715e-01 1.230082254289741397e-02
6.518105849582155997e+00 7.262879459087252521e-01 1.455385216443490400e-02
7.520891364902496434e+00 8.106430306761955862e-01 1.804591750639800846e-02
8.523676880222836871e+00 8.773991639885683202e-01 2.314901765428767355e-02
9.526462395543177308e+00 9.218179812626103864e-01 3.026857868561475678e-02
1.052924791086348932e+01 9.406918901643782638e-01 3.983144311855972564e-02
1.153203342618382976e+01 9.340932123027817502e-01 5.226977896134794160e-02
1.253481894150417020e+01 9.063832701624681132e-01 6.800044800017220059e-02
1.353760445682451063e+01 8.654972432939471716e-01 8.739977582096261632e-02
1.454038997214485107e+01 8.206033438532465141e-01 1.107743296937278160e-01
1.554317548746516309e+01 7.794766652794820061e-01 1.383292426151341847e-01
1.654596100278550352e+01 7.469825249288879476e-01 1.701367486063554701e-01
1.754874651810584396e+01 7.250157939983974398e-01 2.061087245268068413e-01
1.855153203342618440e+01 7.133237137374877079e-01 2.459778498947004788e-01
1.955431754874649641e+01 7.104949176494912422e-01 2.892921028275160511e-01
2.055710306406683685e+01 7.147160924079276612e-01 3.354263547775426235e-01
2.155988857938717729e+01 7.242153671146129845e-01 3.836126768282233646e-01
2.256267409470751772e+01 7.374628051064170409e-01 4.329878747756000790e-01
2.356545961002785816e+01 7.532250319371589509e-01 4.826533997076106197e-01
2.456824512534817018e+01 7.705480141149814166e-01 5.317400693984862814e-01
2.557103064066851061e+01 7.887124407887978750e-01 5.794688457632468648e-01
2.657381615598885105e+01 8.071843904523533508e-01 6.251996684805025684e-01
2.757660167130919149e+01 8.255710413650078072e-01 6.684628295264345432e-01
2.857938718662950350e+01 8.435844939458425618e-01 7.089708203054996272e-01
2.958217270194984394e+01 8.610137205614896150e-01 7.466119996523005176e-01
3.058495821727018438e+01 8.777034969978445567e-01 7.814299858158459955e-01
3.158774373259052481e+01 8.935389005687440767e-01 8.135939527424992379e-01
